Test case ID;Test case name;Steps;;;;
T0001;The “Sign Up Now” link is displayed on the Sign In page and navigates to the Sign Up page;Navigate to the Sign In page;;;;
;;2. Observe result;;;;
;;Expected result:;;;;
;;The sign up link has text: “Sign Up Now”;;;;
;;3. Click on the “Sign Up Now” link;;;;
;;Expected result:;;;;
;;You are on the Sign Up page;;;;
T0002;User can sign in with correct credentials;Preconditions:;;;;
;;Credentials of existing user;;;;
;;Steps:;;;;
;;1. Input email to the email input;;;;
;;2. Input password to the password input;;;;
;;3. Click the “Sign In” button;;;;
;;Expected result:;;;;
;;The user is signed in;;;;
T0003;The Sign In form has respective input placeholders ;1. Navigate to the Sign In page;;;;
;;Expected result:;;;;
;;Email input has “Email” placeholder;;;;
;;Password input has “Password” placeholder;;;;
T0004;Error text is displayed under respective input on the Sign In form;1. Navigate to the Sign In page;;;;
;;2. Click on the “Sign In” button;;;;
;;Expected result:;;;;
;;Email input error text is displayed under the email input field: “Please, enter your email address”;;;;
;;Password input error text is displayed under the password input field: “The Password is required”;;;;
T0005;Error text is not displayed under respective input on the Sign In form once you fulfil the requirements of the respective field;Preconditions:;;;;
;;Test case T0004;;;;
;;Steps:;;;;
;;1. Enter some password to the password input;;;;
;;Expected result:;;;;
;;Password input error text is not displayed;;;;
;;2. Enter a valid email to the email input;;;;
;;Expected result:;;;;
;;Email input error text is not displayed;;;;
T0006;Respective input placeholders are shown once you enter some values to the Sign In form;1. Navigate to the Sign In page;;;;
;;2. Enter any value to the Email input;;;;
;;Expected result:;;;;
;;The “Email” placeholder is displayed for the email input;;;;
;;3. Enter any value to the password input;;;;
;;Expected result:;;;;
;;The “Password” placeholder is displayed for the password input;;;;
T0007;User can sign up using email method;Preconditions:;;;;
;;1. Navigate to the Sign In page;;;;
;;2. Click on the “Sign Up Now” button;;;;
;;Steps:;;;;
;;1. Enter correct first name to the First Name input;;;;
;;2. Enter correct last name to the Last Name input;;;;
;;3. Enter correct company name to the Company Name input;;;;
;;3. Select any Industry;;;;
;;4. Enter correct email to the Email input;;;;
;;5. Select desired country and enter some numbers to fulfil the phone format requirements (311111111 is enough for the +380 country) in the phone input;;;;
;;6. Enter a valid password to the password input;;;;
;;7. Click on the “Sign Up” button;;;;
;;Expected result:;;;;
;;User is created and logged in;;;;
T0008;Alert is displayed when user is trying to log in with incorrect credentials;1. Navigate to the Sign In page;;;;
;;2. Enter credentials that does not exist;;;;
;;"3. Click on the ""Sign In” button";;;;
;;Expected result:;;;;
;;Alert message with “Invalid to login” text is displayed;;;;
T0009;The “Sign In” link is displayed on the Sign Up page and navigates to the Sign In page;Navigate to the Sign Up page;;;;
;;2. Observe result;;;;
;;Expected result:;;;;
;;The sign in link has text: “Sign In”;;;;
;;3. Click on the “Sign In” link;;;;
;;Expected result:;;;;
